area,bedrooms,bathrooms,location,property_type,age,parking,price
1460,2,3,Kochi,Independent House,17,2,8671000
1894,3,3,Pune,Apartment,5,1,12254000
1730,1,1,Salem,Apartment,26,2,4738000
1695,2,2,Madurai,Apartment,19,1,6483000
2238,1,1,Coimbatore,Apartment,0,2,10079000
2769,2,2,Chennai,Apartment,0,3,18183000
1066,3,4,Madurai,Independent House,11,1,6220000
1838,3,3,Bangalore,Apartment,20,2,13614000
930,4,4,Coimbatore,Apartment,27,2,5540000
2082,2,2,Madurai,Apartment,1,3,8940000
2735,4,3,Trichy,Apartment,3,2,11964000
730,3,3,Pune,Villa,16,1,6706000
2285,3,3,Madurai,Apartment,3,1,10812000
1369,4,4,Salem,Apartment,10,0,5521000
2991,5,6,Kochi,Apartment,21,2,18718000
2115,2,1,Trichy,Apartment,25,0,6112000
3453,2,2,Chennai,Apartment,3,2,22747000
3033,4,3,Chennai,Apartment,0,1,23539000
1815,3,3,Chennai,Villa,6,1,18067000
1555,1,2,Chennai,Independent House,29,1,9227000
2924,4,3,Kochi,Apartment,17,2,15503000
1784,4,4,Madurai,Independent House,8,1,11158000
1059,4,4,Hyderabad,Apartment,28,1,7048000
621,4,4,Madurai,Apartment,2,1,3126000
2900,4,3,Bangalore,Independent House,7,1,27067000
1347,2,2,Pune,Apartment,28,1,6276000
1074,2,2,Coimbatore,Independent House,23,2,5406000
1682,3,2,Hyderabad,Apartment,18,1,10180000
3158,4,5,Hyderabad,Apartment,3,0,25779000
2647,2,2,Madurai,Apartment,17,2,10594000
3347,3,3,Hyderabad,Villa,19,3,25874000
1575,3,4,Tirunelveli,Villa,26,1,6246000
2406,3,3,Tirunelveli,Villa,10,1,10990000
789,3,3,Bangalore,Apartment,26,2,5064000
3334,4,4,Coimbatore,Apartment,13,3,20339000
1162,3,3,Salem,Apartment,24,2,4654000
2499,3,4,Kochi,Apartment,17,1,12320000
1867,3,3,Madurai,Independent House,27,1,8941000
3479,3,4,Kochi,Apartment,27,2,16120000
2128,2,2,Salem,Independent House,28,1,7017000
1246,2,2,Madurai,Independent House,15,1,5836000
2668,3,3,Madurai,Apartment,2,2,12284000
3488,1,2,Coimbatore,Villa,14,2,18588000
2814,2,3,Kochi,Apartment,26,1,12056000
1897,3,4,Tirunelveli,Apartment,26,2,6392000
3035,3,3,Chennai,Apartment,30,1,17668000
1200,2,2,Kochi,Villa,3,1,7879000
2963,3,4,Pune,Apartment,4,2,23641000
2661,3,4,Pune,Apartment,16,1,18753000
841,2,2,Madurai,Apartment,6,1,3705000
2641,4,4,Chennai,Apartment,15,3,19587000
3424,3,4,Trichy,Villa,13,1,20956000
3212,3,2,Salem,Independent House,25,1,11765000
1963,3,4,Bangalore,Apartment,15,3,15871000
2739,5,6,Chennai,Apartment,6,2,23417000
1990,4,4,Bangalore,Villa,8,2,24366000
2078,3,3,Kochi,Apartment,3,2,11138000
3156,4,5,Kochi,Villa,29,1,20879000
1375,2,3,Bangalore,Apartment,29,2,8273000
634,2,3,Salem,Apartment,21,1,2063000
